ID;Class
ID0001;01
ID0002;01
ID0003;01
ID0004;01
ID0005;01
ID0006;01
ID0007;01
ID0008;01
ID0009;02
ID0010;02
ID0011;02
ID0012;02
ID0013;02
ID0014;02
ID0015;02
ID0016;02
ID0017;03
ID0018;03
ID0019;03
ID0020;03
ID0021;03
ID0022;03
ID0023;03
ID0024;03
ID0025;03
ID0026;03
ID0027;03
ID0028;03
ID0029;03
ID0030;03
ID0031;03
ID0032;04
ID0033;04
ID0034;04
ID0035;04
ID0036;04
ID0037;04
ID0038;04
ID0039;04
ID0040;04
ID0041;04
ID0042;04
ID0043;05
ID0044;05
ID0045;05
ID0046;05
ID0047;05
ID0048;05
ID0049;05
ID0050;05
ID0051;05
ID0052;05
ID0053;05
ID0054;05
ID0055;05
ID0056;05
ID0057;05
ID0058;05
ID0059;05
ID0060;05
ID0061;05
ID0062;05
ID0063;06
ID0064;06
ID0065;06
ID0066;06
ID0067;06
ID0068;06
ID0069;06
ID0070;06
ID0071;06
ID0072;06
ID0073;06
ID0074;06
ID0075;06
ID0076;06
ID0077;06
ID0078;06
ID0079;07
ID0080;07
ID0081;07
ID0082;07
ID0083;07
ID0084;07
ID0085;07
ID0086;07
ID0087;07
ID0088;07
ID0089;07
ID0090;07
ID0091;07
ID0092;07
ID0093;07
ID0094;07
ID0095;08
ID0096;08
ID0097;08
ID0098;08
ID0099;08
ID0100;08
ID0101;08
ID0102;08
ID0103;08
ID0104;09
ID0105;09
ID0106;09
ID0107;09
ID0108;09
ID0109;09
ID0110;09
ID0111;09
ID0112;09
ID0113;09
ID0114;09
ID0115;09
ID0116;09
ID0117;09
ID0118;09
ID0119;09
ID0120;09
ID0121;09
ID0122;09
ID0123;09
ID0124;10
ID0125;10
ID0126;10
ID0127;10
ID0128;10
ID0129;10
ID0130;10
ID0131;10
ID0132;10
ID0133;10
ID0134;10
ID0135;10
ID0136;10
ID0137;10
ID0138;10
ID0139;10
ID0140;10
ID0141;10
ID0142;10
ID0143;10
ID0144;10
ID0145;10
ID0146;10
ID0147;10
ID0148;10
ID0149;10
ID0150;10
ID0151;10
ID0152;10
ID0153;10
ID0154;10
ID0155;10
ID0156;10
ID0157;10
ID0158;10
ID0159;10
ID0160;10
ID0161;10
ID0162;10
ID0163;10
ID0164;11
ID0165;11
ID0166;11
ID0167;11
ID0168;11
ID0169;11
ID0170;11
ID0171;11
ID0172;11
ID0173;11
ID0174;11
ID0175;11
ID0176;11
ID0177;11
ID0178;11
ID0179;11
ID0180;11
ID0181;11
ID0182;11
ID0183;12
ID0184;12
ID0185;12
ID0186;12
ID0187;12
ID0188;12
ID0189;12
ID0190;12
ID0191;12
ID0192;12
ID0193;12
ID0194;12
ID0195;12
ID0196;12
ID0197;12
ID0198;12
ID0199;12
ID0200;12
ID0201;12
ID0202;12
ID0203;12
ID0204;12
ID0205;12
ID0206;12
ID0207;12
ID0208;12
ID0209;12
ID0210;12
ID0211;12
ID0212;12
ID0213;12
ID0214;12
ID0215;12
ID0216;12
ID0217;12
ID0218;12
ID0219;12
ID0220;12
ID0221;12
ID0222;12
ID0223;12
ID0224;12
ID0225;12
ID0226;13
ID0227;13
ID0228;13
ID0229;13
ID0230;13
ID0231;13
ID0232;13
ID0233;13
ID0234;13
ID0235;13
ID0236;13
ID0237;13
ID0238;13
ID0239;13
ID0240;13
ID0241;13
ID0242;13
ID0243;13
ID0244;13
ID0245;13
ID0246;13
ID0247;14
ID0248;14
ID0249;14
ID0250;14
ID0251;14
ID0252;14
ID0253;14
ID0254;14
ID0255;14
ID0256;14
ID0257;14
ID0258;14
ID0259;14
ID0260;14
ID0261;14
ID0262;15
ID0263;15
ID0264;15
ID0265;15
ID0266;15
ID0267;15
ID0268;15
ID0269;15
ID0270;15
ID0271;15
ID0272;15
ID0273;15
ID0274;15
ID0275;15
ID0276;15
ID0277;16
ID0278;16
ID0279;16
ID0280;16
ID0281;16
ID0282;16
ID0283;16
ID0284;16
ID0285;16
ID0286;16
ID0287;16
ID0288;16
ID0289;16
ID0290;16
ID0291;16
ID0292;16
ID0293;16
ID0294;16
ID0295;16
ID0296;16
ID0297;16
ID0298;16
ID0299;16
ID0300;16
ID0301;16
ID0302;16
ID0303;16
ID0304;16
ID0305;16
ID0306;16
ID0307;16
ID0308;17
ID0309;17
ID0310;17
ID0311;17
ID0312;17
ID0313;17
ID0314;17
ID0315;17
ID0316;17
ID0317;17
ID0318;17
ID0319;17
ID0320;17
ID0321;17
ID0322;18
ID0323;18
ID0324;18
ID0325;18
ID0326;18
ID0327;18
ID0328;18
ID0329;18
ID0330;18
ID0331;18
ID0332;18
ID0333;18
ID0334;18
ID0335;19
ID0336;19
ID0337;19
ID0338;19
ID0339;19
ID0340;19
ID0341;19
ID0342;19
ID0343;19
ID0344;19
ID0345;20
ID0346;20
ID0347;20
ID0348;20
ID0349;20
ID0350;20
ID0351;20
ID0352;20
ID0353;20
ID0354;20
ID0355;21
ID0356;21
ID0357;21
ID0358;21
ID0359;21
ID0360;21
ID0361;21
ID0362;21
ID0363;21
ID0364;21
ID0365;21
ID0366;21
ID0367;22
ID0368;22
ID0369;22
ID0370;22
ID0371;22
ID0372;22
ID0373;22
ID0374;22
ID0375;22
ID0376;22
ID0377;22
ID0378;22
ID0379;22
ID0380;23
ID0381;23
ID0382;23
ID0383;23
ID0384;23
ID0385;23
ID0386;23
ID0387;23
ID0388;23
ID0389;23
ID0390;23
ID0391;23
ID0392;23
ID0393;24
ID0394;24
ID0395;24
ID0396;24
ID0397;24
ID0398;24
ID0399;24
ID0400;24
ID0401;24
ID0402;24
ID0403;24
ID0404;24
